schemaname,tablename,indexname,tablespace,indexdef
public,mail_chimp_accounts,index_mail_chimp_accounts_on_account_list_id,,CREATE INDEX index_mail_chimp_accounts_on_account_list_id ON mail_chimp_accounts USING btree (account_list_id)
public,appeal_excluded_appeal_contacts,index_excluded_appeal_contacts_on_appeal_and_contact,,"CREATE UNIQUE INDEX index_excluded_appeal_contacts_on_appeal_and_contact ON appeal_excluded_appeal_contacts USING btree (appeal_id, contact_id)"
public,person_options,index_person_options_on_key_and_user_id,,"CREATE UNIQUE INDEX index_person_options_on_key_and_user_id ON person_options USING btree (key, user_id)"
public,pledge_donations,index_pledge_donations_on_donation_id,,CREATE INDEX index_pledge_donations_on_donation_id ON pledge_donations USING btree (donation_id)
public,pledge_donations,index_pledge_donations_on_pledge_id,,CREATE INDEX index_pledge_donations_on_pledge_id ON pledge_donations USING btree (pledge_id)
public,pledges,index_pledges_on_appeal_id,,CREATE INDEX index_pledges_on_appeal_id ON pledges USING btree (appeal_id)
public,pledges,index_pledges_on_account_list_id,,CREATE INDEX index_pledges_on_account_list_id ON pledges USING btree (account_list_id)
public,duplicate_record_pairs,index_dup_record_pairs_on_record_two_type_and_record_two_id,,"CREATE INDEX index_dup_record_pairs_on_record_two_type_and_record_two_id ON duplicate_record_pairs USING btree (record_two_type, record_two_id)"
public,duplicate_record_pairs,index_dup_record_pairs_on_record_one_type_and_record_one_id,,"CREATE INDEX index_dup_record_pairs_on_record_one_type_and_record_one_id ON duplicate_record_pairs USING btree (record_one_type, record_one_id)"
public,duplicate_record_pairs,index_duplicate_record_pairs_on_account_list_id,,CREATE INDEX index_duplicate_record_pairs_on_account_list_id ON duplicate_record_pairs USING btree (account_list_id)
public,duplicate_record_pairs,index_dup_record_pairs_on_record_types_and_ids,,"CREATE UNIQUE INDEX index_dup_record_pairs_on_record_types_and_ids ON duplicate_record_pairs USING btree (record_one_type, record_two_type, record_one_id, record_two_id)"
public,balances,index_balances_on_resource_id_and_resource_type,,"CREATE INDEX index_balances_on_resource_id_and_resource_type ON balances USING btree (resource_id, resource_type)"
public,background_batches,index_background_batches_on_user_id,,CREATE INDEX index_background_batches_on_user_id ON background_batches USING btree (user_id)
public,background_batch_requests,index_background_batch_requests_on_background_batch_id,,CREATE INDEX index_background_batch_requests_on_background_batch_id ON background_batch_requests USING btree (background_batch_id)
public,google_plus_accounts,index_google_plus_accounts_on_email_address_id,,CREATE INDEX index_google_plus_accounts_on_email_address_id ON google_plus_accounts USING btree (email_address_id)
public,donation_amount_recommendations,recommendations_donor_account_id,,CREATE INDEX recommendations_donor_account_id ON donation_amount_recommendations USING btree (donor_account_id)
public,donation_amount_recommendations,recommendations_designation_account_id,,CREATE INDEX recommendations_designation_account_id ON donation_amount_recommendations USING btree (designation_account_id)
public,account_list_coaches,index_account_list_coaches_on_coach_id_and_account_list_id,,"CREATE UNIQUE INDEX index_account_list_coaches_on_coach_id_and_account_list_id ON account_list_coaches USING btree (coach_id, account_list_id)"
public,account_list_coaches,index_account_list_coaches_on_account_list_id,,CREATE INDEX index_account_list_coaches_on_account_list_id ON account_list_coaches USING btree (account_list_id)
public,account_list_coaches,index_account_list_coaches_on_coach_id,,CREATE INDEX index_account_list_coaches_on_coach_id ON account_list_coaches USING btree (coach_id)
